"Geo","Year","D4c"
1,2005,0.495204226305337
2,2005,0.025240705936988
3,2005,0.396314925851487
4,2005,0.0800721008435046
5,2005,0.299215441151554
6,2005,0.136278771226626
7,2005,0.244656471236219
8,2005,0.3089670005589
9,2005,0.439282384245416
10,2005,0.322681947577949
11,2005,0.184602376923874
12,2005,0.397701483877095
13,2005,0.345650826346288
14,2005,0.216188283814285
15,2005,0.284059241895831
16,2005,0.332789841264765
17,2005,0.292022629364348
18,2005,0.422189621379858
19,2005,0.345481662830096
20,2005,0.419164478588307
21,2005,0.474906173458503
22,2005,0.493902324756692
23,2005,0.475181437766653
24,2005,0.369533442146214
25,2005,0.451960681695715
26,2005,0.510338009900787
27,2005,0.463044329074207
28,2005,0.45112054274869
29,2005,0.521545242286249
30,2005,0.480093754996571
31,2005,0.553765288205778
32,2005,0.341302487128834
33,2005,0.490566351476026
34,2005,0.186014189926723
35,2005,0.49988117910239
36,2005,0.559925335805348
37,2005,0.565217224882552
38,2005,0.309002940334204
39,2005,0.612434991339675
40,2005,0.439949773170605
41,2005,0.616933963794163
42,2005,0.354628148847812
43,2005,0.226231844556118
44,2005,0.308085243202635
45,2005,0.568217037977994
46,2005,0.510237662461632
47,2005,0.458266655243661
48,2005,0.387744372865047
49,2005,0.38799303725634
50,2005,0.739310019487521
51,2005,0.507357623710915
52,2005,0.348445536150234
53,2005,0.559646484991554
54,2005,0.072893037327933
55,2005,0.457816997098588
56,2005,0
57,2005,0.749410366568712
58,2005,0.586274421423959
59,2005,0.753362023318205
60,2005,0.637538363998058
61,2005,0.601497942379367
62,2005,0.632119153970505
63,2005,0.497118075379429
64,2005,0.561339763968562
65,2005,0.695710738349369
66,2005,0.571849421006335
67,2005,0.618886218366189
68,2005,0.609087586072269
69,2005,0.477076382967248
70,2005,0.511847480463558
71,2005,0.311091257964086
72,2005,0.250007462937676
1,2010,7.81381973694949
2,2010,0.398272703963894
3,2010,6.25344701270101
4,2010,1.26345642608512
5,2010,4.72131576322304
6,2010,2.15034059842868
7,2010,3.86043063077425
8,2010,4.87518546650013
9,2010,6.93142986626015
10,2010,5.09159340087544
11,2010,2.91283801646345
12,2010,6.27532549008752
13,2010,5.4540189794992
14,2010,3.41123154696932
15,2010,4.48216633236079
16,2010,5.25108569717166
17,2010,4.60782049859989
18,2010,6.66172342850543
19,2010,5.45134975102461
20,2010,6.61398974774089
21,2010,7.49353707874285
22,2010,7.79327705278813
23,2010,7.49788046995328
24,2010,5.83086240044445
25,2010,7.13148052331367
26,2010,8.05261547145911
27,2010,7.30636922184034
28,2010,7.1182239840167
29,2010,8.22945421587668
30,2010,7.57539184664662
31,2010,8.73785381619875
32,2010,5.3854066030383
33,2010,7.74063878260031
34,2010,2.93511499174059
35,2010,7.88761730194011
36,2010,8.83505311086791
37,2010,8.9185537457993
38,2010,4.87575255965219
39,2010,9.66360214377046
40,2010,6.9419605856661
41,2010,9.73459135972111
