"Geo","Year","GrpAge0to14","GrpAge15to19","GrpAge20to29","GrpAge30to54","GrpAge55to64","GrpAge65Plus"
"Coburg",2005,0,0,0,0,0,0
"Coburg",2010,0,0,0,0,0,0
"Coburg",2020,0,0,0,0,0,0
"Coburg",2035,0,0,0,0,0,0
"Coburg",2045,0,0,0,0,0,0
"Eugene",2005,0,2037,3389,188,21,1
"Eugene",2010,0,2154,3396,187,10,0
"Eugene",2020,0,2272,3315,132,2,1
"Eugene",2035,0,2669,4171,209,14,1
"Eugene",2045,0,3331,5598,337,34,1
"Springfield",2005,0,0,0,0,0,0
"Springfield",2010,0,0,0,0,0,0
"Springfield",2020,0,0,0,0,0,0
"Springfield",2035,0,0,0,0,0,0
"Springfield",2045,0,0,0,0,0,0
